quarter,ad_perc,time,level,trend
2000_Q1,1.561420466,1,0,0
2000_Q2,1.620071387,2,0,0
2000_Q3,1.487909621,3,0,0
2000_Q4,1.626171282,4,0,0
2001_Q1,1.633943647,5,0,0
2001_Q2,1.682524426,6,0,0
2001_Q3,1.56231624,7,0,0
2001_Q4,1.726989474,8,0,0
2002_Q1,1.739650892,9,0,0
2002_Q2,1.812174618,10,0,0
2002_Q3,1.70519692,11,0,0
2002_Q4,1.876660095,12,0,0
2003_Q1,1.870291852,13,0,0
2003_Q2,1.931467298,14,0,0
2003_Q3,1.812591727,15,0,0
2003_Q4,1.960847346,16,1,1
2004_Q1,1.945032934,17,1,2
2004_Q2,1.899109739,18,1,3
2004_Q3,1.739650103,19,1,4
2004_Q4,1.765304227,20,1,5
2005_Q1,1.693322182,21,1,6
2005_Q2,1.682847432,22,1,7
2005_Q3,1.569766207,23,1,8
2005_Q4,1.62049182,24,1,9
2006_Q1,1.631691387,25,1,10
2006_Q2,1.61992464,26,1,11
2006_Q3,1.509558177,27,1,12
2006_Q4,1.611668826,28,1,13
2007_Q1,1.585076135,29,1,14
2007_Q2,1.575846562,30,1,15
2007_Q3,1.480299141,31,1,16
2007_Q4,1.571801268,32,1,17
2008_Q1,1.516453989,33,1,18
2008_Q2,1.498092845,34,1,19
2008_Q3,1.413232377,35,1,20
2008_Q4,1.535930569,36,1,21
2009_Q1,1.565846884,37,1,22
2009_Q2,1.570886113,38,1,23
2009_Q3,1.525486758,39,1,24
2009_Q4,1.663254282,40,1,25
2010_Q1,1.622214717,41,1,26
2010_Q2,1.652527214,42,1,27
2010_Q3,1.602666288,43,1,28
2010_Q4,1.73262897,44,1,29