month,rxpp,time
Jan-80,5.17,1
Feb-80,5.15,2
Mar-80,5.2,3
Apr-80,4.8,4
May-80,5.32,5
Jun-80,5.05,6
Jul-80,5.25,7
Aug-80,4.85,8
Sep-80,5.15,9
Oct-80,5.42,10
Nov-80,4.9,11
Dec-80,5.68,12
Jan-81,5.4,13
Feb-81,5.55,14
Mar-81,5.15,15
Apr-81,4.85,16
May-81,5.1,17
Jun-81,5.1,18
Jul-81,5,19
Aug-81,6.2,20
Sep-81,2.6,21
Oct-81,2.8,22
Nov-81,2.75,23
Dec-81,2.75,24
Jan-82,2.95,25
Feb-82,2.8,26
Mar-82,2.9,27
Apr-82,2.95,28
May-82,2.85,29
Jun-82,2.9,30
Jul-82,2.75,31
Aug-82,3.85,32
Sep-82,3.65,33
Oct-82,3.55,34
Nov-82,3.75,35
Dec-82,3.85,36
Jan-83,3.9,37
Feb-83,3.55,38
Mar-83,4.1,39
Apr-83,3.8,40
May-83,4.1,41
Jun-83,4.35,42
Jul-83,4.15,43
Aug-83,4.65,44
Sep-83,4.9,45
Oct-83,4.8,46
Nov-83,4.45,47
Dec-83,4.65,48