month,rxpp,time,level,trend
Jan-80,5.17,1,0,0
Feb-80,5.15,2,0,0
Mar-80,5.2,3,0,0
Apr-80,4.8,4,0,0
May-80,5.32,5,0,0
Jun-80,5.05,6,0,0
Jul-80,5.25,7,0,0
Aug-80,4.85,8,0,0
Sep-80,5.15,9,0,0
Oct-80,5.42,10,0,0
Nov-80,4.9,11,0,0
Dec-80,5.68,12,0,0
Jan-81,5.4,13,0,0
Feb-81,5.55,14,0,0
Mar-81,5.15,15,0,0
Apr-81,4.85,16,0,0
May-81,5.1,17,0,0
Jun-81,5.1,18,0,0
Jul-81,5,19,0,0
Aug-81,6.2,20,0,0
Sep-81,2.6,21,1,1
Oct-81,2.8,22,1,2
Nov-81,2.75,23,1,3
Dec-81,2.75,24,1,4
Jan-82,2.95,25,1,5
Feb-82,2.8,26,1,6
Mar-82,2.9,27,1,7
Apr-82,2.95,28,1,8
May-82,2.85,29,1,9
Jun-82,2.9,30,1,10
Jul-82,2.75,31,1,11